,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
361,Benguela,0,AO,1593531416,68,-12.58,13.41,76.05,6.85
362,Flinders,2,AU,1593531417,83,-34.58,150.86,59.0,1.99
363,São Gabriel da Cachoeira,20,BR,1593531419,79,-0.13,-67.09,84.2,2.24
364,Mehrān,0,IR,1593531420,13,33.12,46.16,89.6,9.17
365,Jacareacanga,88,BR,1593531376,62,-6.22,-57.75,89.6,4.7
366,Wangqing,100,CN,1593531423,91,43.32,129.76,55.51,3.0
367,Gander,90,CA,1593531424,83,48.97,-54.59,73.4,9.17
368,Tocopilla,3,CL,1593531425,42,-22.09,-70.2,69.12,7.74
369,Agüimes,40,ES,1593531427,57,27.91,-15.45,80.6,31.09
370,Iaciara,72,BR,1593531428,31,-14.1,-46.63,86.99,3.98
